EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSWMR40,北安路520號對面人行道,往南,2016-11-14,00:00:00,2,230.0,239.5,19.0,211.0,0.0,41.167915,1.32,218.89
VSWMR40,北安路520號對面人行道,往南,2016-11-14,01:00:00,2,123.0,126.0,6.0,117.0,0.0,45.34195,0.545,238.58
VSWMR40,北安路520號對面人行道,往南,2016-11-14,02:00:00,2,80.0,81.5,3.0,77.0,0.0,46.4625,0.275,249.16501
VSWMR40,北安路520號對面人行道,往南,2016-11-14,03:00:00,2,31.0,31.0,0.0,31.0,0.0,44.677742,0.115,249.58499
VSWMR40,北安路520號對面人行道,往南,2016-11-14,04:00:00,2,31.0,32.0,2.0,29.0,0.0,46.64677,0.11,250.0
VSWMR40,北安路520號對面人行道,往南,2016-11-14,05:00:00,2,40.0,40.5,1.0,39.0,0.0,45.423748,0.135,249.58499
VSWMR40,北安路520號對面人行道,往南,2016-11-14,06:00:00,2,48.0,49.5,3.0,45.0,0.0,44.4975,0.235,249.16501
VSWMR40,北安路520號對面人行道,往南,2016-11-14,07:00:00,2,285.0,302.0,34.0,251.0,0.0,42.485615,1.765,207.79001
VSWMR40,北安路520號對面人行道,往南,2016-11-14,08:00:00,2,1035.0,1070.5,71.0,964.0,0.0,38.820667,7.6449995,114.015
VSWMR40,北安路520號對面人行道,往南,2016-11-14,09:00:00,2,1236.0,1273.0,72.0,1157.0,0.0,38.6545,8.575,98.14
VSWMR40,北安路520號對面人行道,往南,2016-11-14,10:00:00,2,671.0,722.9915,88.0,583.0,0.0,42.165646,5.285,141.35
VSWMR40,北安路520號對面人行道,往南,2016-11-14,11:00:00,2,508.0,533.0,50.0,458.0,0.0,42.91228,3.71,167.165
VSWMR40,北安路520號對面人行道,往南,2016-11-14,12:00:00,2,551.0,577.5,53.0,498.0,0.0,41.86501,4.115,160.25
VSWMR40,北安路520號對面人行道,往南,2016-11-14,13:00:00,2,591.0,625.5,69.0,522.0,0.0,41.2722,4.735,152.26001
VSWMR40,北安路520號對面人行道,往南,2016-11-14,14:00:00,2,499.0,534.0,70.0,429.0,0.0,40.29902,3.79,166.91
VSWMR40,北安路520號對面人行道,往南,2016-11-14,15:00:00,2,540.0,596.7826,78.0,463.0,-1.0,40.40452,4.325,157.04001
VSWMR40,北安路520號對面人行道,往南,2016-11-14,16:00:00,2,699.0,756.5,115.0,584.0,0.0,38.032444,7.83,141.625
VSWMR40,北安路520號對面人行道,往南,2016-11-14,17:00:00,2,645.0,695.0,100.0,545.0,0.0,38.037148,6.2599998,141.69
VSWMR40,北安路520號對面人行道,往南,2016-11-14,18:00:00,2,771.0,809.5,77.0,694.0,0.0,41.547234,4.8599997,128.125
VSWMR40,北安路520號對面人行道,往南,2016-11-14,19:00:00,2,998.0,1054.5,113.0,880.0,0.0,40.61912,6.8050003,102.075
VSWMR40,北安路520號對面人行道,往南,2016-11-14,20:00:00,2,826.0,908.81354,146.0,680.0,0.0,36.271862,9.940001,114.605
VSWMR40,北安路520號對面人行道,往南,2016-11-14,21:00:00,2,511.0,545.0,68.0,443.0,0.0,40.09237,4.145,157.20999
VSWMR40,北安路520號對面人行道,往南,2016-11-14,22:00:00,2,569.0,606.5,75.0,494.0,0.0,42.348396,4.205,154.86
VSWMR40,北安路520號對面人行道,往南,2016-11-14,23:00:00,2,402.0,428.0,52.0,350.0,0.0,45.40699,2.35,190.11499
VSWMR40,北安路520號對面人行道,往南,2016-11-15,00:00:00,2,234.0,244.5,21.0,213.0,0.0,45.27812,1.185,219.13501
VSWMR40,北安路520號對面人行道,往南,2016-11-15,01:00:00,2,123.0,128.5,11.0,112.0,0.0,49.610973,0.515,240.08499
VSWMR40,北安路520號對面人行道,往南,2016-11-15,02:00:00,2,80.0,81.0,2.0,78.0,0.0,41.99025,0.41,245.41501
VSWMR40,北安路520號對面人行道,往南,2016-11-15,03:00:00,2,39.0,40.0,2.0,37.0,0.0,48.02667,0.135,249.58499
VSWMR40,北安路520號對面人行道,往南,2016-11-15,04:00:00,2,29.0,29.5,1.0,28.0,0.0,46.655174,0.105000004,249.58499
VSWMR40,北安路520號對面人行道,往南,2016-11-15,05:00:00,2,41.0,42.5,3.0,38.0,0.0,46.047806,0.19,249.58499
VSWMR40,北安路520號對面人行道,往南,2016-11-15,06:00:00,2,68.0,71.0,6.0,62.0,0.0,45.7825,0.3,246.67
VSWMR40,北安路520號對面人行道,往南,2016-11-15,07:00:00,2,258.0,272.0,28.0,230.0,0.0,42.03659,1.59,216.935
VSWMR40,北安路520號對面人行道,往南,2016-11-15,08:00:00,2,975.0,1006.5,63.0,912.0,0.0,39.21123,7.3550005,118.03999
VSWMR40,北安路520號對面人行道,往南,2016-11-15,09:00:00,2,1265.0,1297.5,65.0,1200.0,0.0,38.639046,8.15,93.7
VSWMR40,北安路520號對面人行道,往南,2016-11-15,10:00:00,2,750.0,784.5,69.0,681.0,0.0,42.73192,5.16,135.955
VSWMR40,北安路520號對面人行道,往南,2016-11-15,11:00:00,2,594.0,635.0,82.0,512.0,0.0,42.998535,3.9450002,153.065
VSWMR40,北安路520號對面人行道,往南,2016-11-15,12:00:00,2,709.0,763.5,109.0,600.0,0.0,37.79876,7.52,133.325
VSWMR40,北安路520號對面人行道,往南,2016-11-15,13:00:00,2,580.0,622.5,85.0,493.0,0.0,38.386124,6.79,153.775
VSWMR40,北安路520號對面人行道,往南,2016-11-15,14:00:00,2,530.0,577.7627,81.0,450.0,-1.0,41.05981,4.09,155.98
VSWMR40,北安路520號對面人行道,往南,2016-11-15,15:00:00,2,596.0,632.0,72.0,524.0,0.0,39.516224,5.1150002,156.76
VSWMR40,北安路520號對面人行道,往南,2016-11-15,16:00:00,2,578.0,624.5,93.0,485.0,0.0,40.136646,5.1549997,153.03
VSWMR40,北安路520號對面人行道,往南,2016-11-15,17:00:00,2,632.0,680.0,96.0,536.0,0.0,40.496426,5.35,143.425
VSWMR40,北安路520號對面人行道,往南,2016-11-15,18:00:00,2,728.0,762.5,69.0,659.0,0.0,41.628956,4.45,134.085
VSWMR40,北安路520號對面人行道,往南,2016-11-15,19:00:00,2,932.0,985.5,107.0,825.0,0.0,42.465675,6.35,109.315
VSWMR40,北安路520號對面人行道,往南,2016-11-15,20:00:00,2,754.0,799.5,91.0,663.0,0.0,40.366974,5.85,128.36
VSWMR40,北安路520號對面人行道,往南,2016-11-15,21:00:00,2,558.0,594.0,72.0,486.0,0.0,41.59473,3.9750001,157.17
VSWMR40,北安路520號對面人行道,往南,2016-11-15,22:00:00,2,537.0,566.0,58.0,479.0,0.0,42.580097,3.295,160.20999
VSWMR40,北安路520號對面人行道,往南,2016-11-15,23:00:00,2,400.0,426.5,53.0,347.0,0.0,44.20625,2.505,187.41
VSWMR40,北安路520號對面人行道,往南,2016-11-16,00:00:00,2,245.0,258.5,27.0,218.0,0.0,44.629917,1.33,218.11
VSWMR40,北安路520號對面人行道,往南,2016-11-16,01:00:00,2,118.0,122.5,9.0,109.0,0.0,44.382713,0.6,242.25
VSWMR40,北安路520號對面人行道,往南,2016-11-16,02:00:00,2,54.0,55.0,2.0,52.0,0.0,44.81204,0.215,250.0
VSWMR40,北安路520號對面人行道,往南,2016-11-16,03:00:00,2,47.0,48.5,3.0,44.0,0.0,46.021065,0.185,249.16501
VSWMR40,北安路520號對面人行道,往南,2016-11-16,04:00:00,2,33.0,33.5,1.0,32.0,0.0,41.362423,0.14,250.0
VSWMR40,北安路520號對面人行道,往南,2016-11-16,05:00:00,2,30.0,30.0,0.0,30.0,0.0,43.035,0.099999994,249.58499
VSWMR40,北安路520號對面人行道,往南,2016-11-16,06:00:00,2,63.0,66.0,6.0,57.0,0.0,44.52746,0.295,248.33499
VSWMR40,北安路520號對面人行道,往南,2016-11-16,07:00:00,2,220.0,237.5,35.0,185.0,0.0,41.995003,1.41,219.66501
VSWMR40,北安路520號對面人行道,往南,2016-11-16,08:00:00,2,981.0,1011.5,61.0,920.0,0.0,39.58165,8.05,113.715
VSWMR40,北安路520號對面人行道,往南,2016-11-16,09:00:00,2,1259.0,1289.5,61.0,1198.0,0.0,36.627213,11.415,99.475006
VSWMR40,北安路520號對面人行道,往南,2016-11-16,10:00:00,2,730.0,775.0,90.0,632.0,0.0,44.00526,5.005,132.05
VSWMR40,北安路520號對面人行道,往南,2016-11-16,11:00:00,2,607.0,648.7373,69.0,538.0,0.0,40.075024,6.47,150.81999
VSWMR40,北安路520號對面人行道,往南,2016-11-16,12:00:00,2,586.0,620.5,69.0,517.0,0.0,40.40092,4.185,154.15
VSWMR40,北安路520號對面人行道,往南,2016-11-16,13:00:00,2,601.0,641.5,81.0,520.0,0.0,39.746204,6.285,148.515
VSWMR40,北安路520號對面人行道,往南,2016-11-16,14:00:00,2,575.0,620.5,91.0,484.0,0.0,40.033913,4.645,152.945
VSWMR40,北安路520號對面人行道,往南,2016-11-16,15:00:00,2,610.0,657.0,94.0,516.0,0.0,39.711605,6.125,151.05
VSWMR40,北安路520號對面人行道,往南,2016-11-16,16:00:00,2,616.0,665.5,99.0,517.0,0.0,38.356655,6.15,149.41501
VSWMR40,北安路520號對面人行道,往南,2016-11-16,17:00:00,2,702.0,762.0,120.0,582.0,0.0,39.649857,6.805,135.315
