EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VS9TE00,港墘路219號前,往北,2016-11-14,00:00:00,1,21.0,21.0,0.0,21.0,0.0,40.71,0.3,250.0
VS9TE00,港墘路219號前,往北,2016-11-14,01:00:00,1,11.0,11.5,1.0,10.0,0.0,38.64,0.23,250.0
VS9TE00,港墘路219號前,往北,2016-11-14,02:00:00,1,4.0,4.0,0.0,4.0,0.0,38.0,0.07,250.0
VS9TE00,港墘路219號前,往北,2016-11-14,03:00:00,1,3.0,3.0,0.0,3.0,0.0,38.0,0.02,249.1
VS9TE00,港墘路219號前,往北,2016-11-14,04:00:00,1,2.0,2.0,0.0,2.0,0.0,38.0,0.03,250.0
VS9TE00,港墘路219號前,往北,2016-11-14,05:00:00,1,1.0,1.0,0.0,1.0,0.0,38.0,0.02,250.0
VS9TE00,港墘路219號前,往北,2016-11-14,06:00:00,1,7.0,7.0,0.0,7.0,0.0,38.0,0.13,250.0
VS9TE00,港墘路219號前,往北,2016-11-14,07:00:00,1,49.0,49.0,0.0,49.0,0.0,40.63,0.65,241.03
VS9TE00,港墘路219號前,往北,2016-11-14,08:00:00,1,360.0,377.0,34.0,326.0,0.0,33.29,9.28,122.13
VS9TE00,港墘路219號前,往北,2016-11-14,09:00:00,1,333.0,352.5,39.0,294.0,0.0,26.170002,22.02,137.55
VS9TE00,港墘路219號前,往北,2016-11-14,10:00:00,1,415.0,430.5,31.0,384.0,0.0,22.93,37.07,97.77
VS9TE00,港墘路219號前,往北,2016-11-14,11:00:00,1,166.0,173.0,14.0,152.0,0.0,31.15,5.97,192.22
VS9TE00,港墘路219號前,往北,2016-11-14,12:00:00,1,129.0,130.5,3.0,126.0,0.0,37.43,1.97,216.8
VS9TE00,港墘路219號前,往北,2016-11-14,13:00:00,1,155.0,158.0,6.0,149.0,0.0,34.54,2.67,199.35
VS9TE00,港墘路219號前,往北,2016-11-14,14:00:00,1,195.0,199.5,9.0,186.0,0.0,33.1,3.35,188.43
VS9TE00,港墘路219號前,往北,2016-11-14,15:00:00,1,251.0,262.37286,14.0,237.0,0.0,30.19,7.95,159.44
VS9TE00,港墘路219號前,往北,2016-11-14,16:00:00,1,229.0,240.0,22.0,207.0,0.0,37.06,3.95,165.17
VS9TE00,港墘路219號前,往北,2016-11-14,17:00:00,1,216.0,220.5,9.0,207.0,0.0,35.49,3.77,178.27
VS9TE00,港墘路219號前,往北,2016-11-14,18:00:00,1,369.0,392.5,47.0,322.0,0.0,31.670002,12.87,118.35
VS9TE00,港墘路219號前,往北,2016-11-14,19:00:00,1,437.0,470.68967,36.0,401.0,0.0,25.36,17.47,112.47
VS9TE00,港墘路219號前,往北,2016-11-14,20:00:00,1,268.0,282.5,29.0,239.0,0.0,29.43,6.87,164.08
VS9TE00,港墘路219號前,往北,2016-11-14,21:00:00,1,109.0,110.5,3.0,106.0,0.0,37.26,1.67,221.72
VS9TE00,港墘路219號前,往北,2016-11-14,22:00:00,1,72.0,73.0,2.0,70.0,0.0,33.22,1.02,244.45
VS9TE00,港墘路219號前,往北,2016-11-14,23:00:00,1,25.0,25.5,1.0,24.0,0.0,34.64,0.43,249.03
VS9TE00,港墘路219號前,往北,2016-11-15,00:00:00,1,10.0,10.0,0.0,10.0,0.0,34.1,0.17,250.0
VS9TE00,港墘路219號前,往北,2016-11-15,01:00:00,1,6.0,6.5,1.0,5.0,0.0,36.0,0.17,250.0
VS9TE00,港墘路219號前,往北,2016-11-15,02:00:00,1,3.0,3.0,0.0,3.0,0.0,36.0,0.05,250.0
VS9TE00,港墘路219號前,往北,2016-11-15,03:00:00,1,2.0,2.0,0.0,2.0,0.0,36.0,0.02,250.0
VS9TE00,港墘路219號前,往北,2016-11-15,04:00:00,1,1.0,1.0,0.0,1.0,0.0,36.0,0.02,250.0
VS9TE00,港墘路219號前,往北,2016-11-15,05:00:00,1,2.0,2.0,0.0,2.0,0.0,36.0,0.03,250.0
VS9TE00,港墘路219號前,往北,2016-11-15,06:00:00,1,11.0,11.0,0.0,11.0,0.0,37.0,0.17,250.0
VS9TE00,港墘路219號前,往北,2016-11-15,07:00:00,1,53.0,54.0,2.0,51.0,0.0,40.920002,0.77,244.48
VS9TE00,港墘路219號前,往北,2016-11-15,08:00:00,1,305.0,320.0,30.0,275.0,0.0,33.04,8.5,137.77
VS9TE00,港墘路219號前,往北,2016-11-15,09:00:00,1,366.0,381.0,30.0,336.0,0.0,23.399998,34.93,133.35
VS9TE00,港墘路219號前,往北,2016-11-15,10:00:00,1,412.0,437.5,51.0,361.0,0.0,26.15,18.75,124.43
VS9TE00,港墘路219號前,往北,2016-11-15,11:00:00,1,248.0,258.0,20.0,228.0,0.0,33.38,5.05,172.85
VS9TE00,港墘路219號前,往北,2016-11-15,12:00:00,1,199.0,207.5,17.0,182.0,0.0,34.52,3.9,183.38
VS9TE00,港墘路219號前,往北,2016-11-15,13:00:00,1,211.0,220.0,18.0,193.0,0.0,34.83,4.18,178.55
VS9TE00,港墘路219號前,往北,2016-11-15,14:00:00,1,206.0,216.0,20.0,186.0,0.0,35.39,4.27,175.07
VS9TE00,港墘路219號前,往北,2016-11-15,15:00:00,1,252.0,264.0,24.0,228.0,0.0,30.02,6.33,156.15
VS9TE00,港墘路219號前,往北,2016-11-15,16:00:00,1,299.0,317.5,37.0,262.0,0.0,27.76,9.37,135.83
VS9TE00,港墘路219號前,往北,2016-11-15,17:00:00,1,306.0,323.0,34.0,272.0,0.0,27.96,10.12,140.0
VS9TE00,港墘路219號前,往北,2016-11-15,18:00:00,1,351.0,370.5,39.0,312.0,0.0,26.54,19.0,129.93
VS9TE00,港墘路219號前,往北,2016-11-15,19:00:00,1,545.0,592.7586,56.0,489.0,0.0,26.62,19.97,92.44
VS9TE00,港墘路219號前,往北,2016-11-15,20:00:00,1,292.0,310.0,36.0,256.0,0.0,25.07,8.85,142.95
VS9TE00,港墘路219號前,往北,2016-11-15,21:00:00,1,138.0,139.0,2.0,136.0,0.0,38.08,2.18,208.58
VS9TE00,港墘路219號前,往北,2016-11-15,22:00:00,1,90.0,91.0,2.0,88.0,0.0,38.76,1.32,236.07
VS9TE00,港墘路219號前,往北,2016-11-15,23:00:00,1,38.0,38.5,1.0,37.0,0.0,38.21,0.6,250.0
VS9TE00,港墘路219號前,往北,2016-11-16,00:00:00,1,18.0,18.5,1.0,17.0,0.0,38.33,0.28,248.13
VS9TE00,港墘路219號前,往北,2016-11-16,01:00:00,1,5.0,5.0,0.0,5.0,0.0,44.4,0.07,250.0
